-6,2
-5.9,2
-5.8,2
-5.7,2
-5.6,2
-5.5,2
-5.4,2
-5.3,2
-5.2,2
-5.1,2
-5,2
-4.9,2
-4.8,2
-4.7,3
-4.6,3
-4.5,2
-4.4,2
-4.3,2
-4.2,2
-4.1,2
-4,1
-3.9,1
-3.8,2
-3.7,3
-3.6,3
-3.5,3
-3.4,3
-3.3,3
-3.2,4
-3.1,4
-3,2
-2.9,2
-2.8,2
-2.7,2
-2.6,2
-2.5,7
-2.4,4
-2.3,3
-2.2,9
-2.1,13
-2,16
-1.9,15
-1.8,19
-1.7,14
-1.6,21
-1.5,23
-1.4,19
-1.3,20
-1.2,27
-1.1,30
-1,21
-0.9,13
-0.8,17
-0.7,7
-0.6,2
-0.5,-6
-0.4,0
-0.3,-2
-0.2,-8
-0.1,-15
0,-19
0.1,-33
0.2,-56
0.3,-63
0.4,-64
0.5,-57
0.6,-61
0.7,-60
0.8,-70
0.9,-82
1,-63
1.1,-51
1.2,-47
1.3,-49
1.4,-20
1.5,-10
1.6,7
1.7,29
1.8,28
1.9,43
2,41
2.1,53
2.2,54
2.3,63
2.4,58
2.5,43
2.6,46
2.7,42
2.8,45
2.9,53
3,41
3.1,45
3.2,40
3.3,37
3.4,32
3.5,29
3.6,34
3.7,43
3.8,37
3.9,34
4,32
4.1,28
4.2,34
4.3,35
4.4,29
4.5,28
4.6,29
4.7,26
4.8,28
4.9,32
5,35
5.1,35
5.2,31
5.3,30
5.4,26
5.5,25
5.6,28
5.7,25
5.8,24
5.9,27
6,21
