-6,3
-5.9,3
-5.8,3
-5.7,3
-5.6,3
-5.5,3
-5.4,3
-5.3,3
-5.2,3
-5.1,3
-5,3
-4.9,3
-4.8,3
-4.7,3
-4.6,3
-4.5,3
-4.4,3
-4.3,3
-4.2,3
-4.1,3
-4,3
-3.9,3
-3.8,3
-3.7,3
-3.6,3
-3.5,3
-3.4,3
-3.3,5
-3.2,5
-3.1,5
-3,4
-2.9,5
-2.8,5
-2.7,5
-2.6,5
-2.5,8
-2.4,9
-2.3,8
-2.2,9
-2.1,11
-2,10
-1.9,15
-1.8,20
-1.7,28
-1.6,34
-1.5,40
-1.4,43
-1.3,48
-1.2,60
-1.1,74
-1,80
-0.9,111
-0.8,119
-0.7,127
-0.6,152
-0.5,166
-0.4,178
-0.3,208
-0.2,201
-0.1,201
0,182
0.1,177
0.2,196
0.3,199
0.4,197
0.5,217
0.6,230
0.7,260
0.8,253
0.9,255
1,301
1.1,301
1.2,296
1.3,272
1.4,241
1.5,243
1.6,236
1.7,235
1.8,232
1.9,213
2,210
2.1,210
2.2,194
2.3,206
2.4,197
2.5,170
2.6,142
2.7,108
2.8,91
2.9,83
3,77
3.1,77
3.2,79
3.3,77
3.4,65
3.5,62
3.6,56
3.7,45
3.8,36
3.9,30
4,26
4.1,21
4.2,22
4.3,21
4.4,21
4.5,20
4.6,13
4.7,11
4.8,9
4.9,8
5,5
5.1,5
5.2,4
5.3,5
5.4,4
5.5,4
5.6,3
5.7,2
5.8,1
5.9,1
6,1
