-6,2
-5.9,2
-5.8,2
-5.7,2
-5.6,2
-5.5,2
-5.4,2
-5.3,2
-5.2,3
-5.1,3
-5,4
-4.9,5
-4.8,5
-4.7,5
-4.6,5
-4.5,5
-4.4,5
-4.3,5
-4.2,5
-4.1,7
-4,7
-3.9,8
-3.8,8
-3.7,8
-3.6,7
-3.5,8
-3.4,10
-3.3,7
-3.2,7
-3.1,7
-3,4
-2.9,2
-2.8,0
-2.7,1
-2.6,9
-2.5,12
-2.4,12
-2.3,17
-2.2,19
-2.1,19
-2,21
-1.9,10
-1.8,3
-1.7,16
-1.6,18
-1.5,23
-1.4,18
-1.3,14
-1.2,-6
-1.1,-15
-1,-34
-0.9,-58
-0.8,-82
-0.7,-75
-0.6,-82
-0.5,-83
-0.4,-64
-0.3,-71
-0.2,-85
-0.1,-62
0,-44
0.1,-42
0.2,-28
0.3,4
0.4,-2
0.5,-1
0.6,-11
0.7,-8
0.8,-13
0.9,-4
1,14
1.1,20
1.2,14
1.3,17
1.4,25
1.5,33
1.6,29
1.7,30
1.8,38
1.9,34
2,37
2.1,34
2.2,29
2.3,36
2.4,41
2.5,34
2.6,36
2.7,31
2.8,32
2.9,33
3,27
3.1,24
3.2,20
3.3,16
3.4,19
3.5,18
3.6,23
3.7,22
3.8,32
3.9,34
4,31
4.1,27
4.2,25
4.3,19
4.4,19
4.5,26
4.6,26
4.7,22
4.8,25
4.9,21
5,22
5.1,19
5.2,18
5.3,18
5.4,17
5.5,23
5.6,20
5.7,16
5.8,17
5.9,20
6,16
